,feature_importance
241,0.0024267352498135303
242,0.0023714291453585195
243,0.0021969149118416893
244,0.002516140210306649
245,0.00230881676733546
246,0.0031804979714506266
247,0.003453339368707997
248,0.0013050951278804138
249,0.0013141906510756294
250,0.001548300793200731
251,0.0013523974544156732
252,0.001328640369360005
253,0.0014742189348930796
254,0.0014377526818825511
255,0.001804840242552202
256,0.001662380414781256
257,0.0022883285907922893
258,0.0023473484782553086
259,0.002331238135276897
260,0.0032219172795350938
261,0.003779854656636607
262,0.003899954422611207
263,0.0
264,0.0
265,0.0
266,0.003976894324661686
267,0.003985995102001069
268,0.0035732271112124065
269,0.002546810180090221
270,0.002678130521039204
271,0.002915607953022627
272,0.012985615708393981
273,0.025378136654881964
274,0.015390093797539058
275,0.014431125938642396
276,0.002088545209423207
277,0.004512330710682392
278,0.007722024632311669
279,0.003511277365505627
280,0.005284091587949359
281,0.0004453616566107589
282,0.0005365224368965736
283,0.011936888954610004
284,0.002160660062218262
285,0.010024198646090433
286,0.001619257735902092
287,0.0011577534698754804
288,0.0023790096141805108
289,0.002638486920722602
290,0.011597919224326174
291,0.0024077084217569715
292,0.0039390092673761935
293,0.004137998927561973
294,0.006059808932703486
295,0.007500273759345958
296,0.0026918824482948774
297,0.0019099566763073055
298,0.0013293637616839868
299,0.003160207388972999
300,0.004422431725326551
301,0.004045281732081066
302,0.004876512975662448
303,0.0053626704072855975
304,0.0049591750548208455
305,0.002562909367294833
306,0.002416429555043729
307,0.0038770450394903554
308,0.003514161511687727
309,0.0008704773287604834
310,0.0011167334635762375
311,0.0009558227134565467
312,0.003093818848468174
313,0.0018258344173829764
314,0.0018333348402068564
315,0.0033069254791588485
316,0.004834389138479532
317,0.002338351606135241
318,0.0022866087656972234
319,0.004438952000862605
320,0.0032706908146912066
321,0.0011827318420922694
322,0.0013136787896324317
323,0.0023822884781027178
324,0.002250848818282793
325,0.0024181626551150227
