,feature_importance
189,0.0009707088887187603
190,0.0010378661483149438
191,0.0011681503610042204
192,0.0008860509558422281
193,0.0008521474094988779
194,0.0010501064335212663
195,0.0009121672386108107
196,0.0008749102172259726
197,0.000935534744631509
198,0.0009481263550315644
199,0.0008730558944587642
200,0.0009610800035073405
201,0.0008819145733728602
202,0.0009280231140744688
203,0.001054005961570775
204,0.0011995066629582243
205,0.0013391435996722204
206,0.0009198288403562262
207,0.0010535630704985783
208,0.0010681944218118476
209,0.0008556171801270679
210,0.0008924278427675296
211,0.0008915506243375941
212,0.0007832946751499051
213,0.0009131500626897957
214,0.000800196828855389
215,0.0009635289742308494
216,0.0009010295256250972
217,0.0009803553130116756
218,0.0009125829715952003
219,0.0009982883442772026
220,0.0008455892837621999
221,0.0012880416992095878
222,0.0010843763100538489
223,0.00123968005062404
224,0.0009063478738694621
225,0.0009757817055483716
226,0.0009827343145865362
227,0.0010059278691705023
228,0.0012916581313598319
229,0.0013283196376597925
230,0.0009124937589467525
231,0.0008563442845319093
232,0.0008132599652893278
233,0.0011525816899655213
234,0.001257758697566738
235,0.0018034218221961618
236,0.0008281247703535968
237,0.001106477481999287
238,0.0009955934528197616
239,0.0025043398113931696
240,0.002638487920095496
241,0.002455935271913615
242,0.004400190924995865
243,0.003669405407694722
244,0.0021489862870488255
245,0.004311215406517391
246,0.005893645333421425
247,0.0089933528733084
248,0.0011144259936945423
249,0.0013628595214301494
250,0.0011016935651277993
251,0.001024565394607768
252,0.001106784496517506
253,0.0010281430623380603
254,0.0011928555319431525
255,0.0015877875441886247
256,0.0014914830653173108
257,0.0016720330877626297
258,0.0018951520080776956
259,0.0017730806687437115
260,0.0025501172050631706
261,0.002865456925411145
262,0.00271842320710223
263,0.0
264,0.0
265,0.0
266,0.0033764454959818637
267,0.0033143513718926145
268,0.003132348635217283
269,0.002674944810553926
270,0.00250140602753947
271,0.0023559369561591877
272,0.01433524150016681
273,0.02357581587685019
274,0.017403992801432316
275,0.019105886554613014
276,0.0025317609819487112
277,0.006047332076237926
278,0.009112021357051983
279,0.004600643595780302
280,0.0051265768039671965
281,0.0003018781907257301
282,0.0002823721246186811
283,0.009138383677823658
284,0.0017103295019148472
285,0.0068579332263785575
286,0.0016283952210895756
287,0.0012703110184423092
288,0.0020298723585318494
289,0.0027035781435636574
290,0.010938773562215598
291,0.0020021294987051827
292,0.0029032598634928684
293,0.003899005512046395
294,0.005640594166944224
295,0.004990011649797466
296,0.0025496896910890327
297,0.0017584345046143732
298,0.0013993874696838278
299,0.0019339126914627023
300,0.0030959463115387224
301,0.0032633640463503887
302,0.0034683491432724338
303,0.0034803208982816147
304,0.0032691432206261154
305,0.002824974677218664
306,0.002410402823384054
